name,guard_name,modulo,roles_asignados,usuarios_activos_via_rol,grupo_facturacion_pagos
additional_fields_add_additional_fields,web,"additional_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
additional_fields_delete_additional_fields,web,"additional_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
additional_fields_edit_additional_fields,web,"additional_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
additional_fields_export_additional_fields,web,"additional_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
additional_fields_view_additional_fields,web,"additional_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
admin_view_files,web,"admin_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
billing_payment_sellers,web,"billing_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR",9,si-ver-9991119
billing_payment_view_clients,web,"billing_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR",9,si-ver-9991119
billing_view_detail_payments,web,"billing_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR",9,si-ver-9991119
billing_view_transactions,web,"billing_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR",9,
company_view_information,web,"company_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
crm_view_of_convert_crm_to_client,web,"crm_* (heurístico, sin module.json)",super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
documentacion-corporativa.activo-digital.manage,web,"documentacion-corporativa.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
documentacion-corporativa.activo.manage,web,"documentacion-corporativa.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
documentacion-corporativa.apartado.i.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.ii.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.iii.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.iv.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.ix.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.v.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.vi.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.vii.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.viii.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.x.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.apartado.xi.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR,8,
documentacion-corporativa.apartado.xii.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR|consejo,8,
documentacion-corporativa.inventario.accesos.manage,web,"documentacion-corporativa.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
documentacion-corporativa.inventario.accesos.view,web,"Documentación Corporativa",super-administrator|DESARROLLADOR,8,
documentation_view_test_unit,web,"documentation_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
family.parent_view_child,web,"family.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
inbox_add_inbox,web,Mensajes,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inbox_delete_inbox,web,Mensajes,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inbox_edit_inbox,web,Mensajes,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inventory_item_stock_add_inventory_item_stock,web,Inventario,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inventory_item_stock_delete_inventory_item_stock,web,Inventario,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inventory_item_stock_edit_inventory_item_stock,web,Inventario,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
inversiones.backtest,web,Inversiones,super-administrator|DESARROLLADOR,8,
inversiones.manage,web,Inversiones,super-administrator|DESARROLLADOR,8,
inversiones.operar,web,Inversiones,super-administrator|DESARROLLADOR,8,
inversiones.riesgo.edit,web,Inversiones,super-administrator|DESARROLLADOR,8,
inversiones.thomas.view,web,Inversiones,super-administrator|DESARROLLADOR,8,
invoice_edit_invoice,web,"invoice_* (heurístico, sin module.json)",super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR,8,si-ver-9991119
invoice_view_invoice,web,"invoice_* (heurístico, sin module.json)","super-administrator|Super Administrador|Mostrador|Vendedor|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR|SUPERVISOR_MOSTRADOR",24,si-ver-9991119
labels_view_labels,web,Mensajes,"super-administrator|Super Administrador|Mostrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|SUPERVISOR_MOSTRADOR",11,
location_export_location,web,"location_* (heurístico, sin module.json)","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO",9,
mapa_red_catalogo_manage,web,"mapa_* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
mapa_red_catalogo_view,web,"mapa_* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
mapa_red_ver_impacto,web,"mapa_* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
mapa_red.consultar_cobertura,web,"mapa_red.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
mapared.drops.manage,web,"mapared.* (heurístico, sin module.json)",super-administrator|DESARROLLADOR,8,
olt_edit,web,"Gestión de Red","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|TECNICO_PLANTA",9,
olt_remove,web,"Gestión de Red","super-administrator|Super Administrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|TECNICO_PLANTA",9,
panel_view_billing,web,"panel_* (heurístico, sin module.json)","super-administrator|Super Administrador|Mostrador|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR|SUPERVISOR_MOSTRADOR",11,
panel_view_prospects,web,"panel_* (heurístico, sin module.json)","super-administrator|Super Administrador|Vendedor|DESARROLLADOR|ADMINISTRADOR_COMPLETO|SUPERVISOR_MOSTRADOR",22,
panel_view_sales,web,"panel_* (heurístico, sin module.json)","super-administrator|Super Administrador|Vendedor|DESARROLLADOR|ADMINISTRADOR_COMPLETO|SUPERVISOR_MOSTRADOR",22,
panel_view_stadistics,web,"panel_* (heurístico, sin module.json)","super-administrator|Super Administrador|Vendedor|DESARROLLADOR|ADMINISTRADOR_COMPLETO|CONTADOR|SUPERVISOR_MOSTRADOR",22,
scheduling_task_delete,web,Scheduling,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO|TECNICO_PLANTA|TECNICO_INSTALADOR,8,
service_in_address_list_add_service_in_address_list,web,Configuración,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
service_in_address_list_delete_service_in_address_list,web,Configuración,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
service_in_address_list_edit_service_in_address_list,web,Configuración,super-administrator|DESARROLLADOR|ADMINISTRADOR_COMPLETO,8,
