name,guard_name,modulo,estado
add_data_plan_promotion,web,"add_* (heurístico, sin module.json)",usado
add_sucursal,web,"add_* (heurístico, sin module.json)",usado
additional_fields_add_additional_fields,web,"additional_* (heurístico, sin module.json)",huerfano
additional_fields_delete_additional_fields,web,"additional_* (heurístico, sin module.json)",huerfano
additional_fields_edit_additional_fields,web,"additional_* (heurístico, sin module.json)",huerfano
additional_fields_export_additional_fields,web,"additional_* (heurístico, sin module.json)",huerfano
additional_fields_view_additional_fields,web,"additional_* (heurístico, sin module.json)",huerfano
admin_modules,web,"admin_* (heurístico, sin module.json)",usado
admin_modules_migrate,web,"admin_* (heurístico, sin module.json)",usado
admin_modules_toggle,web,"admin_* (heurístico, sin module.json)",usado
admin_view_files,web,"admin_* (heurístico, sin module.json)",huerfano
admin_view_information,web,"admin_* (heurístico, sin module.json)",usado
admin_view_meganet,web,"admin_* (heurístico, sin module.json)",usado
admin_view_module,web,"admin_* (heurístico, sin module.json)",usado
admin_view_registers,web,"admin_* (heurístico, sin module.json)",usado
admin_view_reports,web,"admin_* (heurístico, sin module.json)",usado
admin_view_scripts,web,"admin_* (heurístico, sin module.json)",usado
apikey_view_apikey,web,"apikey_* (heurístico, sin module.json)",usado
auditoria.senales.view,web,"auditoria.* (heurístico, sin module.json)",usado
billing_payment_sellers,web,"billing_* (heurístico, sin module.json)",huerfano
billing_payment_view_clients,web,"billing_* (heurístico, sin module.json)",huerfano
billing_view_detail_payments,web,"billing_* (heurístico, sin module.json)",huerfano
billing_view_transactions,web,"billing_* (heurístico, sin module.json)",huerfano
calendar_filter_assigned_to,web,Scheduling,usado
calendar_filter_filter,web,Scheduling,usado
calendar_filter_partner,web,Scheduling,usado
calendar_filter_project,web,Scheduling,usado
calendar_filter_status,web,Scheduling,usado
centro-proyecto.view,web,"Centro de Proyecto",usado
circuito.decidir,web,"circuito.* (heurístico, sin module.json)",usado
circuito.disparar,web,"circuito.* (heurístico, sin module.json)",usado
circuito.pause,web,"circuito.* (heurístico, sin module.json)",usado
client_add_client,web,"client_* (heurístico, sin module.json)",usado
client_billing_invoice_add,web,"client_* (heurístico, sin module.json)",usado
client_billing_invoice_client,web,"client_* (heurístico, sin module.json)",usado
client_billing_invoice_delete,web,"client_* (heurístico, sin module.json)",usado
client_billing_invoice_edit,web,"client_* (heurístico, sin module.json)",usado
client_billing_transaction_add,web,"client_* (heurístico, sin module.json)",usado
client_billing_transaction_client,web,"client_* (heurístico, sin module.json)",usado
client_billing_transaction_delete,web,"client_* (heurístico, sin module.json)",usado
client_billing_transaction_edit,web,"client_* (heurístico, sin module.json)",usado
client_billing_view_tab_client,web,"client_* (heurístico, sin module.json)",usado
client_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_document_add_client,web,"client_* (heurístico, sin module.json)",usado
client_document_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_document_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_document_view_client,web,"client_* (heurístico, sin module.json)",usado
client_document_view_tab_client,web,"client_* (heurístico, sin module.json)",usado
client_edit_balance,web,"client_* (heurístico, sin module.json)",usado
client_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_edit_fecha_corte,web,"client_* (heurístico, sin module.json)",usado
client_edit_fecha_pago,web,"client_* (heurístico, sin module.json)",usado
client_edit_id,web,"client_* (heurístico, sin module.json)",usado
client_export_client,web,"client_* (heurístico, sin module.json)",usado
client_information_geolocation_client,web,"client_* (heurístico, sin module.json)",usado
client_information_view_tab_client,web,"client_* (heurístico, sin module.json)",usado
client_payroll,web,"client_* (heurístico, sin module.json)",usado
client_payroll_payment,web,"client_* (heurístico, sin module.json)",usado
client_payroll_payment_add_client,web,"client_* (heurístico, sin module.json)",usado
client_payroll_payment_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_payroll_payment_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_payroll_payment_view_client,web,"client_* (heurístico, sin module.json)",usado
client_payroll_view_tab_client,web,"client_* (heurístico, sin module.json)",usado
client_service,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle_add_client,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle_change_client,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_service_bundle_view_client,web,"client_* (heurístico, sin module.json)",usado
client_service_custom,web,"client_* (heurístico, sin module.json)",usado
client_service_custom_add_client,web,"client_* (heurístico, sin module.json)",usado
client_service_custom_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_service_custom_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_service_custom_view_client,web,"client_* (heurístico, sin module.json)",usado
client_service_internet,web,"client_* (heurístico, sin module.json)",usado
client_service_internet_add_client,web,"client_* (heurístico, sin module.json)",usado
client_service_internet_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_service_internet_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_service_internet_view_client,web,"client_* (heurístico, sin module.json)",usado
client_service_view_tab_client,web,"client_* (heurístico, sin module.json)",usado
client_service_voz,web,"client_* (heurístico, sin module.json)",usado
client_service_voz_add_client,web,"client_* (heurístico, sin module.json)",usado
client_service_voz_delete_client,web,"client_* (heurístico, sin module.json)",usado
client_service_voz_edit_client,web,"client_* (heurístico, sin module.json)",usado
client_service_voz_view_client,web,"client_* (heurístico, sin module.json)",usado
client_update_status,web,"client_* (heurístico, sin module.json)",usado
client_view_client,web,"client_* (heurístico, sin module.json)",usado
